c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,832 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log.3 -> Name-TableNinja2.log.3
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,833 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log.3 -> Fast-7bd4a42cf4902ffaa4518912b33b6fa3-7634206
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,835 9          DEBUG - [md5] computed md5 for C:\john\code\buff\201\TNLogs-TOSHIBA-Owner-showrects\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,835 9          DEBUG - [md5] computed md5 for C:\john\code\buff\201\TNLogs-TOSHIBA-Owner-showrects\TableNinja2.log -> Fast-5772e8c85f4158e286a7e7f0a2e5093b-104878
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,836 9          DEBUG - [md5] computed md5 for C:\john\code\buff\201\TNLogs-MAXIMUS-Felker-635554660321220542\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,838 9          DEBUG - [md5] computed md5 for C:\john\code\buff\201\TNLogs-MAXIMUS-Felker-635554660321220542\TableNinja2.log -> Fast-c93c6fa4de07e0c3d70589f9de261032-78320
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,839 9          DEBUG - [md5] computed md5 for C:\john\code\buff\300\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,840 9          DEBUG - [md5] computed md5 for C:\john\code\buff\300\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log -> Fast-a91a578b1b661846688ef45f0aedc38c-160001
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,842 9          DEBUG - [md5] computed md5 for C:\john\code\buff\300\TNLogs-ARIEL-Ariel-635755953171018511 (1)\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,843 9          DEBUG - [md5] computed md5 for C:\john\code\buff\300\TNLogs-ARIEL-Ariel-635755953171018511 (1)\TableNinja2.log -> Fast-64a320eeeeb3fd670a2bacd35b14abde-105764
